,artist_genre,artist_name,time_range,track_id,track_name
210,turntablism,C2C,medium_term,1TDuaeF7FnV74z57NK7hh4,Arcades
211,turntablism,C2C,medium_term,2ZXWOCdQ2IJ63RBOjuQVR3,Happy
212,turntablism,C2C,medium_term,4YG11F0CV02cJEFUH7NUBn,F.U.Y.A.
213,conscious hip hop,Logic,medium_term,17N5FdRwJuv3UXQ7MHnbhF,Ballin
214,dmv rap,Logic,medium_term,17N5FdRwJuv3UXQ7MHnbhF,Ballin
215,hip hop,Logic,medium_term,17N5FdRwJuv3UXQ7MHnbhF,Ballin
216,pop rap,Logic,medium_term,17N5FdRwJuv3UXQ7MHnbhF,Ballin
217,rap,Logic,medium_term,17N5FdRwJuv3UXQ7MHnbhF,Ballin
218,escape room,Anderson .Paak,medium_term,2lRe5wBRm4xaSKTbDn2vLD,Trippy (feat. J. Cole)
219,turntablism,C2C,medium_term,3XOEuZcwfW4l7fttcB7zB6,Because Of You
220,turntablism,C2C,medium_term,4nACgpjyb4XoabqODcszuE,Genius
221,detroit hip hop,Eminem,medium_term,2XTquzYQAdT1Hk78bOUwsv,Greatest
222,g funk,Eminem,medium_term,2XTquzYQAdT1Hk78bOUwsv,Greatest
223,hip hop,Eminem,medium_term,2XTquzYQAdT1Hk78bOUwsv,Greatest
224,rap,Eminem,medium_term,2XTquzYQAdT1Hk78bOUwsv,Greatest
225,hip hop,NF,medium_term,2OKo7g3KfmCt3kyLvUAL0g,The Search
226,pop rap,NF,medium_term,2OKo7g3KfmCt3kyLvUAL0g,The Search
227,rap,NF,medium_term,2OKo7g3KfmCt3kyLvUAL0g,The Search
228,conscious hip hop,Kendrick Lamar,medium_term,7KXjTSCq5nL1LoYtL7XAwS,HUMBLE.
229,hip hop,Kendrick Lamar,medium_term,7KXjTSCq5nL1LoYtL7XAwS,HUMBLE.
230,rap,Kendrick Lamar,medium_term,7KXjTSCq5nL1LoYtL7XAwS,HUMBLE.
231,west coast rap,Kendrick Lamar,medium_term,7KXjTSCq5nL1LoYtL7XAwS,HUMBLE.
232,classical,Wolfgang Amadeus Mozart,medium_term,2vYZz7GEja1hXM7w6S4Y5I,"Piano Sonata No. 8 in A Minor, K. 310: I. Allegro maestoso"
233,classical era,Wolfgang Amadeus Mozart,medium_term,2vYZz7GEja1hXM7w6S4Y5I,"Piano Sonata No. 8 in A Minor, K. 310: I. Allegro maestoso"
234,alternative r&b,Snoh Aalegra,medium_term,2TRnVXGSK4aBtfEOaB460m,Fool For You
235,indie r&b,Snoh Aalegra,medium_term,2TRnVXGSK4aBtfEOaB460m,Fool For You
236,indie soul,Snoh Aalegra,medium_term,2TRnVXGSK4aBtfEOaB460m,Fool For You
237,scandinavian r&b,Snoh Aalegra,medium_term,2TRnVXGSK4aBtfEOaB460m,Fool For You
238,swedish soul,Snoh Aalegra,medium_term,2TRnVXGSK4aBtfEOaB460m,Fool For You
239,japanese jazz,fox capture plan,medium_term,1NMYxZgo5IQgFgOcZdwZ9E,夜間航路
240,japanese math rock,fox capture plan,medium_term,1NMYxZgo5IQgFgOcZdwZ9E,夜間航路
241,japanese post-rock,fox capture plan,medium_term,1NMYxZgo5IQgFgOcZdwZ9E,夜間航路
242,alternative r&b,Mac Ayres,medium_term,58dSdjfEYNSxte1aNVxuNf,Easy
243,indie r&b,Mac Ayres,medium_term,58dSdjfEYNSxte1aNVxuNf,Easy
244,indie soul,Mac Ayres,medium_term,58dSdjfEYNSxte1aNVxuNf,Easy
