,artist_genre,artist_name,ft_acousticness,ft_danceability,ft_energy,ft_instrumentalness,ft_key,ft_liveness,ft_loudness,ft_mode,ft_speechiness,ft_tempo,ft_valence,rank,time_range,track_id,track_name,track_popularity,track_release_date,key_note
27,"['k-hop', 'k-indie', 'k-pop', 'korean pop', 'korean r&b']",Zion.T,0.255,0.728,0.681,0.0,7,0.116,-6.099,1,0.178,109.921,0.692,28,long_term,61yCHvf0FoBtnnDwqOtbHp,Babay (feat. Gaeko),0,2013-07-21,G
28,"['classical', 'late romantic era', 'polish classical']",Henryk Wieniawski,0.892,0.422,0.253,0.134,2,0.128,-16.373,1,0.0438,114.297,0.455,29,long_term,0yQMA3UgzGgmL7Py3lPFCx,"Scherzo-tarantelle in G Minor, Op.16 - 1987 Remastered Version",29,1996-01-12,D
29,"['k-indie', 'k-pop', 'korean pop']",Baek A Yeon,0.632,0.531,0.567,0.0,6,0.598,-4.61,1,0.036,80.018,0.277,30,long_term,6ezuIWphgAyuOc2aK7xMHT,Sad Song (느린노래),0,2012-09-10,F#
30,"['boston hip hop', 'hip hop', 'pop rap', 'rap']",Joyner Lucas,0.274,0.671,0.565,6.51e-05,11,0.37,-7.401,0,0.16,150.014,0.561,31,long_term,30z4LVkScpeNhwHFIB8Ewa,I Love,76,2018-10-17,B
31,"['k-pop', 'k-pop boy group']",BTS,0.0215,0.486,0.88,0.0,5,0.24,-3.097,0,0.0706,158.043,0.71,32,long_term,2ySKRXKN58cbIlY1cxd80y,I NEED U,0,2015-04-29,F
32,"['classical', 'early romantic era']",Niccolò Paganini,0.947,0.398,0.134,0.16,2,0.0837,-19.65,1,0.0496,124.564,0.249,33,long_term,0LUMNOIykU5SgNwzZIlah4,"Paganini: Violin Concerto No. 1 in D Major, Op. 6: I. Allegro maestoso",25,2003-09-01,D
33,"['classical', 'classical era', 'early romantic era']",Ludwig van Beethoven,0.946,0.341,0.233,0.552,0,0.0602,-18.867,1,0.0411,129.017,0.248,34,long_term,4d1182NzgXOv7igDm9WyM8,"Triple Concerto in C Major, Op. 56: I. Allegro",1,2018-03-16,C
34,"['c-pop', 'cantopop', 'classic cantopop']",Leslie Cheung,0.0891,0.524,0.256,0.00385,2,0.12,-17.653,1,0.0272,94.279,0.163,35,long_term,1jWPUI9NkBpfhW2G9Oi3sX,有誰共鳴,40,2001,D
35,"['c-pop', 'mandopop', 'taiwan pop']",Jay Chou,0.356,0.523,0.572,1.29e-06,1,0.121,-6.834,1,0.0274,106.943,0.306,36,long_term,7vs3JM90lKhp11av83WA5j,算什麼男人,56,2014-12-26,C#
36,['indonesian hip hop'],Rich Brian,0.104,0.923,0.508,1.21e-05,1,0.126,-8.668,1,0.0468,108.039,0.168,37,long_term,4bdJHQp90ymjEIkkYhcENB,Dat $tick,71,2016-03-11,C#
