,rank,time_range,track_id,track_name,track_popularity,track_release_date,artist_genre,artist_name,key_note,ft_danceability,ft_energy,ft_key,ft_loudness,ft_mode,ft_speechiness,ft_acousticness,ft_instrumentalness,ft_liveness,ft_valence,ft_tempo,number_of_repeats
97,31,short_term,5OTlZY4moBdA3UttjlZBU9,"緣份 - 電影 ""緣份"" 主題曲",45,2016-09-09,c-pop,Leslie Cheung,C,0.239,0.28600000000000003,0,-12.616,1,0.0325,0.452,0.000125,0.12300000000000001,0.11900000000000001,147.689,3
98,31,short_term,5OTlZY4moBdA3UttjlZBU9,"緣份 - 電影 ""緣份"" 主題曲",45,2016-09-09,cantopop,Leslie Cheung,C,0.239,0.28600000000000003,0,-12.616,1,0.0325,0.452,0.000125,0.12300000000000001,0.11900000000000001,147.689,3
99,31,short_term,5OTlZY4moBdA3UttjlZBU9,"緣份 - 電影 ""緣份"" 主題曲",45,2016-09-09,classic cantopop,Leslie Cheung,C,0.239,0.28600000000000003,0,-12.616,1,0.0325,0.452,0.000125,0.12300000000000001,0.11900000000000001,147.689,3
100,32,short_term,5RLv04XXxe0Nc4W7DTBJGT,風繼續吹,48,1983,c-pop,Leslie Cheung,C,0.5379999999999999,0.426,0,-9.985,1,0.0289,0.264,0.0012,0.47200000000000003,0.322,133.786,3
101,32,short_term,5RLv04XXxe0Nc4W7DTBJGT,風繼續吹,48,1983,cantopop,Leslie Cheung,C,0.5379999999999999,0.426,0,-9.985,1,0.0289,0.264,0.0012,0.47200000000000003,0.322,133.786,3
102,32,short_term,5RLv04XXxe0Nc4W7DTBJGT,風繼續吹,48,1983,classic cantopop,Leslie Cheung,C,0.5379999999999999,0.426,0,-9.985,1,0.0289,0.264,0.0012,0.47200000000000003,0.322,133.786,3
103,33,short_term,5XkeTGKcCkGF8l6fA9YpsS,Bitch Niggaz,52,1999-11-16,g funk,Dr. Dre,B,0.695,0.7170000000000001,11,-1.454,0,0.395,0.359,0.0,0.27699999999999997,0.61,75.888,5
104,33,short_term,5XkeTGKcCkGF8l6fA9YpsS,Bitch Niggaz,52,1999-11-16,gangster rap,Dr. Dre,B,0.695,0.7170000000000001,11,-1.454,0,0.395,0.359,0.0,0.27699999999999997,0.61,75.888,5
105,33,short_term,5XkeTGKcCkGF8l6fA9YpsS,Bitch Niggaz,52,1999-11-16,hip hop,Dr. Dre,B,0.695,0.7170000000000001,11,-1.454,0,0.395,0.359,0.0,0.27699999999999997,0.61,75.888,5
106,33,short_term,5XkeTGKcCkGF8l6fA9YpsS,Bitch Niggaz,52,1999-11-16,rap,Dr. Dre,B,0.695,0.7170000000000001,11,-1.454,0,0.395,0.359,0.0,0.27699999999999997,0.61,75.888,5
107,33,short_term,5XkeTGKcCkGF8l6fA9YpsS,Bitch Niggaz,52,1999-11-16,west coast rap,Dr. Dre,B,0.695,0.7170000000000001,11,-1.454,0,0.395,0.359,0.0,0.27699999999999997,0.61,75.888,5
108,34,short_term,72dgfW1USZQy5liiRxkeS7,"Piano Concerto No. 2 in D Minor, Op. 40, MWV O11: II. Adagio - Molto sostenuto",36,1993-11-16,classical,Felix Mendelssohn,A#,0.26,0.016,10,-30.089000000000002,1,0.0385,0.988,0.883,0.0717,0.0379,130.71200000000002,2
109,34,short_term,72dgfW1USZQy5liiRxkeS7,"Piano Concerto No. 2 in D Minor, Op. 40, MWV O11: II. Adagio - Molto sostenuto",36,1993-11-16,early romantic era,Felix Mendelssohn,A#,0.26,0.016,10,-30.089000000000002,1,0.0385,0.988,0.883,0.0717,0.0379,130.71200000000002,2
